crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL INFORMATICA;558;642;641;658;623;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL BIOMEDICA;517;623;641;674;612;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL INFORMATICA;476;568;675;688;611;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL DE MATERIALES;575;551;658;606;604;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL DE MATERIALES;455;585;670;636;598;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL INDUSTRIAL;702;668;738;642;704;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INFORMATICA;785;570;656;661;676;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;661;651;701;592;667;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL MECANICA;641;704;671;641;664;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;641;661;692;609;662;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INFORMATICA;641;700;669;589;655;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;620;585;682;613;642;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;3
INGENIERIA CIVIL ELECTRICA;641;551;675;609;638;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL ELECTRICA;620;551;657;613;625;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL - PLAN COMUN;641;564;645;592;621;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL ELECTRICA;538;638;629;608;604;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL DE MATERIALES;599;547;614;548;587;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;4
INGENIERIA CIVIL ELECTRICA;713;601;734;751;721;-73,044733;-36,8109554;36;2,13097;0;1;1;0;0;2
INGENIERIA CIVIL;805;771;834;734;807;-73,044733;-36,8109554;33;2,13097;0;1;1;0;0;1
INGENIERIA CIVIL BIOMEDICA;784;546;616;589;643;-73,044733;-36,8109554;24;2,13097;0;1;1;0;0;3
INGENIERIA CIVIL ELECTRONICA;719;582;668;597;686;-73,044733;-36,8109554;17;2,13097;0;1;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;703;760;606;565;684;-73,044733;-36,8109554;17;2,13097;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;668;567;616;539;635;-73,044733;-36,8109554;0;2,13097;0;1;1;0;0;3
INGENIERIA CIVIL ELECTRONICA;764;624;681;662;725;-73,044733;-36,8109554;0;2,13097;0;1;1;0;0;2
INGENIERIA CIVIL METALURGICA;582;650;669;630;631;-73,0600229;-36,8256948;36;2,153877;0;1;1;0;0;2
INGENIERIA CIVIL INDUSTRIAL;791;639;660;648;716;-73,1617679;-37,0880388;38;30,856586;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRICA;775;537;649;554;679;-73,1617679;-37,0880388;35;30,856586;0;1;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;657;680;653;662;662;-73,1617679;-37,0880388;6;30,856586;0;1;1;0;0;3
INGENIERIA CIVIL METALURGICA;801;494;556;550;652;-73,1617679;-37,0880388;0;30,856586;1;0;1;0;0;4
INGENIERIA CIVIL INDUSTRIAL;760;590;649;634;693;-71,995124;-36,63874;40;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;723;502;702;633;667;-71,995124;-36,63874;40;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL BIOMEDICA;805;735;713;718;740;-71,995124;-36,63874;37;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL BIOMEDICA;723;541;657;591;646;-71,995124;-36,63874;37;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL QUIMICA;795;657;696;647;737;-71,995124;-36,63874;36;95,354462;1;0;1;0;0;1
INGENIERIA CIVIL BIOMEDICA;779;653;675;669;723;-71,995124;-36,63874;36;95,354462;1;0;1;0;0;1
INGENIERIA CIVIL QUIMICA;744;657;748;645;718;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL MECANICA;723;644;715;766;714;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL AEROESPACIAL;723;635;695;679;691;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL MECANICA;744;622;620;552;644;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRICA;715;636;685;651;695;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;702;569;657;629;651;-71,995124;-36,63874;36;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL INDUSTRIAL;713;594;690;644;687;-71,995124;-36,63874;35;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL;785;689;688;771;725;-71,995124;-36,63874;33;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL;704;661;719;650;704;-71,995124;-36,63874;30;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;762;641;634;623;695;-71,995124;-36,63874;30;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL BIOMEDICA;682;664;692;645;678;-71,995124;-36,63874;30;95,354462;1;0;1;0;0;1
INGENIERIA CIVIL;641;611;717;683;677;-71,995124;-36,63874;27;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL INDUSTRIAL;682;598;783;651;710;-71,995124;-36,63874;27;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL - PLAN COMUN;702;635;661;600;658;-71,995124;-36,63874;27;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRICA;682;605;634;572;634;-71,995124;-36,63874;24;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRICA;583;657;679;595;629;-71,995124;-36,63874;24;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL;785;611;659;602;679;-71,995124;-36,63874;21;95,354462;1;0;1;0;0;2
INGENIERIA CIVIL - PLAN COMUN;682;650;593;606;645;-71,995124;-36,63874;21;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL INDUSTRIAL;702;723;724;634;705;-71,995124;-36,63874;19;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL EN TELECOMUNICACIONES;558;514;609;563;575;-71,995124;-36,63874;18;95,354462;0;1;1;0;0;3
INGENIERIA CIVIL BIOMEDICA;641;542;684;713;656;-71,995124;-36,63874;17;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL BIOMEDICA;744;664;690;724;705;-71,995124;-36,63874;17;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL METALURGICA;698;597;633;560;653;-71,995124;-36,63874;15;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL BIOMEDICA;702;589;582;580;637;-71,995124;-36,63874;15;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL METALURGICA;579;612;682;723;634;-71,995124;-36,63874;15;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL AEROESPACIAL;764;768;678;689;715;-71,995124;-36,63874;15;95,354462;0;1;1;0;0;1
INGENIERIA CIVIL - PLAN COMUN;583;589;663;657;629;-71,995124;-36,63874;12;95,354462;0;1;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;599;608;678;600;636;-71,995124;-36,63874;9;95,354462;0;1;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;620;466;606;612;589;-71,995124;-36,63874;9;95,354462;0;1;1;0;0;3
INGENIERIA CIVIL ELECTRONICA;599;583;659;602;624;-71,995124;-36,63874;9;95,354462;0;1;1;0;0;3
INGENIERIA CIVIL;620;703;695;608;664;-71,995124;-36,63874;8;95,354462;0;1;1;0;0;2
INGENIERÍA CIVIL DE MINAS;702;704;663;602;681;-71,995124;-36,63874;6;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;657;567;579;611;616;-71,995124;-36,63874;6;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL DE MATERIALES;661;558;589;608;616;-71,995124;-36,63874;3;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL EN TELECOMUNICACIONES;573;613;582;524;577;-71,995124;-36,63874;3;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;723;596;649;693;666;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;2
INGENIERIA CIVIL - PLAN COMUN;620;614;597;626;610;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;641;361;590;531;560;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;620;482;550;570;559;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERÍA CIVIL DE MINAS;692;704;663;602;681;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;643;633;597;591;624;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;661;513;627;576;616;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;661;499;617;579;616;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;661;600;648;606;616;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL - PLAN COMUN;661;646;624;616;616;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL DE MATERIALES;661;558;589;608;616;-71,995124;-36,63874;0;95,354462;1;0;1;0;0;4
INGENIERIA CIVIL BIOMEDICA;579;675;601;611;608;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL BIOMEDICA;649;552;578;558;605;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL EN TELECOMUNICACIONES;573;613;582;524;577;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;4
INGENIERIA CIVIL EN TELECOMUNICACIONES;764;775;680;629;708;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;682;759;661;701;687;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL - PLAN COMUN;661;691;666;631;663;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;538;596;614;594;589;-71,995124;-36,63874;0;95,354462;0;1;1;0;0;3
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
