crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL METALURGICA;702;594;677;572;661;-73,089504;-36,776139;27;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;620;611;644;492;613;-73,089504;-36,776139;27;7,542787;1;0;0;1;0;3
INGENIERIA CIVIL MECANICA;692;615;686;657;686;-73,089504;-36,776139;25;7,542787;1;0;0;1;0;1
INGENIERIA CIVIL INFORMATICA;620;594;685;583;642;-73,089504;-36,776139;25;7,542787;0;1;0;1;0;3
INGENIERIA CIVIL INFORMATICA;585;571;766;611;650;-73,089504;-36,776139;24;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;637;558;652;637;637;-73,089504;-36,776139;24;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRICA;661;636;634;579;633;-73,089504;-36,776139;24;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;558;623;637;560;607;-73,089504;-36,776139;24;7,542787;1;0;0;1;0;3
INGENIERIA CIVIL EN TELECOMUNICACIONES;496;614;636;571;588;-73,089504;-36,776139;24;7,542787;0;1;0;1;0;3
INGENIERIA CIVIL ELECTRICA;653;526;644;595;631;-73,089504;-36,776139;24;7,542787;0;1;0;1;0;3
INGENIERIA CIVIL - PLAN COMUN;682;657;626;605;642;-73,089504;-36,776139;21;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;538;629;704;674;624;-73,089504;-36,776139;21;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL EN TELECOMUNICACIONES;492;521;660;512;557;-73,089504;-36,776139;18;7,542787;0;1;0;1;0;4
INGENIERIA CIVIL - PLAN COMUN;538;575;702;604;627;-73,089504;-36,776139;17;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL INFORMATICA;558;574;696;605;630;-73,089504;-36,776139;16;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL METALURGICA;645;626;679;656;662;-73,089504;-36,776139;12;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;599;679;702;619;660;-73,089504;-36,776139;8;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL DE MATERIALES;599;602;657;557;619;-73,089504;-36,776139;8;7,542787;0;1;0;1;0;4
INGENIERIA CIVIL EN TELECOMUNICACIONES;620;650;629;514;613;-73,089504;-36,776139;8;7,542787;1;0;0;1;0;3
INGENIERIA CIVIL - PLAN COMUN;641;650;688;627;661;-73,089504;-36,776139;0;7,542787;0;1;0;1;0;3
INGENIERIA CIVIL;717;646;697;685;711;-73,089504;-36,776139;0;7,542787;0;1;0;1;0;2
